date,close,volume,open,high,low
2016-06-27,34.568,111426440,34.6005,34.8409,34.1058
2016-06-28,35.3975,80650180,35.0,35.4,34.9086
2016-06-29,35.78,61307280,35.7875,35.975,35.677
2016-06-30,35.781,56872440,35.86,35.9685,35.627
2016-07-01,36.284,58361220,35.866,36.4,35.827
2016-07-05,36.405,48524080,36.14,36.478,35.9805
2016-07-06,36.8805,78597800,36.2855,36.8885,36.129
2016-07-07,36.8285,58786080,36.9665,36.9775,36.5815
2016-07-08,37.2905,68543940,37.007,37.305,36.9
2016-07-11,37.689,63807160,37.5,37.795,37.35
2016-07-12,37.4105,112162220,37.843,37.867,37.0165
2016-07-13,37.1315,82615400,37.338,37.8435,37.0625
2016-07-14,37.06,47709960,37.443,37.452,36.951
2016-07-15,36.772,61984780,37.3275,37.3275,36.7025
2016-07-18,36.8035,59041980,36.7745,37.0798,36.436
2016-07-19,36.9975,44215020,36.625,37.1665,36.6155
2016-07-20,37.286,43855580,37.2,37.3125,37.035
2016-07-21,37.2215,46307340,37.375,37.468,37.1396
2016-07-22,37.243,45186900,37.3895,37.564,37.1765
2016-07-25,36.9805,53479700,37.3275,37.425,36.7675
2016-07-26,36.7795,49953780,37.1355,37.1565,36.6376
2016-07-27,36.8335,57421580,36.8985,37.047,36.693
2016-07-28,37.6305,144937420,37.299,37.668,36.985
2016-07-29,37.9405,135269960,38.25,38.3,37.75
2016-08-01,38.387,71446420,37.9935,38.525,37.853
2016-08-02,38.029,71936160,38.1905,38.2505,37.851
2016-08-03,37.732,71590460,37.853,37.9445,37.6125
2016-08-04,38.0385,63537160,37.685,38.25,37.5175
2016-08-05,38.299,54045320,38.2405,38.4235,38.1545
2016-08-08,38.328,39626740,38.3405,38.35,38.0508
2016-08-09,38.4155,37497800,38.3695,38.63,38.345
2016-08-10,38.428,32028240,38.49,38.605,38.3095
2016-08-11,38.562,40344780,38.497,38.6875,38.456
2016-08-12,38.628,31241660,38.423,38.6575,38.4211
2016-08-15,38.4245,42326000,38.595,38.602,38.3855
2016-08-16,38.202,32023300,38.431,38.4366,38.191
2016-08-17,38.2315,37746320,38.2205,38.261,37.9599
2016-08-18,38.223,29165620,38.2,38.2585,38.03
2016-08-19,37.8655,46751340,38.095,38.1245,37.8445
2016-08-22,37.974,33552500,37.875,37.9925,37.605
2016-08-23,38.1225,30434940,38.1655,38.235,38.05
2016-08-24,37.8625,34851300,38.15,38.1705,37.768
2016-08-25,37.961,32440340,37.8,38.028,37.7371
2016-08-26,38.45,55390400,38.0025,38.5,37.9898
2016-08-29,38.5645,43923120,38.436,38.749,38.43
2016-08-30,38.379,35762820,38.5525,38.5918,38.278
2016-08-31,38.458,32615840,38.33,38.482,38.2
2016-09-01,38.531,35815020,38.545,38.602,38.3375
2016-09-02,38.622,43364760,38.7055,38.8,38.585
2016-09-06,39.4435,74330820,38.702,39.474,38.511
2016-09-07,39.224,48449060,39.4765,39.5395,39.2165
2016-09-08,39.203,40558300,39.1945,39.325,39.072
2016-09-09,38.007,84938760,38.968,39.05,38.0055
2016-09-12,38.5745,62377580,37.8675,38.633,37.8
2016-09-13,38.0505,62313240,38.4385,38.4945,37.9525
