date,close,volume,open,high,low
2016-06-27,8.533,137605800,8.788,8.8,8.481
2016-06-28,8.797,115290900,8.741,8.888,8.641
2016-06-29,9.106,116736300,8.967,9.197,8.87
2016-06-30,9.148,90151910,9.091,9.172,8.99
2016-07-01,9.667,161576500,9.5,9.7,9.48
2016-07-05,9.791,258560500,9.52,10.127,9.331
2016-07-06,9.46,162785800,9.503,9.6,9.355
2016-07-07,9.51,99062830,9.47,9.538,9.318
2016-07-08,9.706,83301580,9.6,9.741,9.53
2016-07-11,9.467,132505500,9.619,9.6869,9.43
2016-07-12,9.597,115939400,9.507,9.672,9.409
2016-07-13,9.643,87637980,9.626,9.672,9.48
2016-07-14,9.802,98681380,9.7,9.827,9.68
2016-07-15,9.839,90044350,9.852,9.87,9.741
2016-07-18,9.881,264667200,9.843,9.984,9.724
2016-07-19,8.584,555846700,8.543,8.675,8.45
2016-07-20,8.791,234842700,8.667,8.849,8.582
2016-07-21,8.599,160656600,8.83,8.838,8.521
2016-07-22,8.589,113549400,8.648,8.65,8.511
2016-07-25,8.766,141220300,8.573,8.787,8.501
2016-07-26,9.141,195565800,9.103,9.31,9.09
2016-07-27,9.204,87052300,9.15,9.206,9.01
2016-07-28,9.165,62146500,9.192,9.221,9.068
2016-07-29,9.125,69493110,9.119,9.1749,9.059
2016-08-01,9.437,106562900,9.123,9.467,9.05
2016-08-02,9.356,98153630,9.4,9.408,9.218
2016-08-03,9.31,70284590,9.328,9.467,9.255
2016-08-04,9.344,60408200,9.32,9.3732,9.182
2016-08-05,9.703,183389100,9.377,9.774,9.356
2016-08-08,9.511,101283400,9.591,9.593,9.4
2016-08-09,9.399,91716940,9.512,9.581,9.348
2016-08-10,9.393,64874330,9.44,9.475,9.295
2016-08-11,9.589,85403860,9.46,9.633,9.437
2016-08-12,9.659,65885150,9.553,9.683,9.508
2016-08-15,9.531,73010040,9.683,9.691,9.524
2016-08-16,9.512,62590960,9.519,9.561,9.44
2016-08-17,9.637,82682660,9.494,9.693,9.485
2016-08-18,9.616,72519030,9.598,9.7217,9.517
2016-08-19,9.587,69407230,9.605,9.678,9.551
2016-08-22,9.526,58248600,9.567,9.613,9.495
2016-08-23,9.594,52367390,9.568,9.659,9.548
2016-08-24,9.518,62581290,9.613,9.636,9.491
2016-08-25,9.732,108012100,9.638,9.8245,9.604
2016-08-26,9.758,66097930,9.733,9.795,9.657
2016-08-29,9.73,80011380,9.697,9.845,9.657
2016-08-30,9.745,60860650,9.784,9.885,9.714
2016-08-31,9.745,46870890,9.748,9.788,9.676
2016-09-01,9.738,41463390,9.781,9.798,9.6916
2016-09-02,9.738,42448580,9.79,9.818,9.701
2016-09-06,10.009,90260700,9.776,10.032,9.7649
2016-09-07,9.915,64632450,10.011,10.019,9.842
2016-09-08,9.966,51995960,9.923,10.005,9.882
2016-09-09,9.65,73554820,9.906,9.939,9.65
2016-09-12,9.905,77079240,9.591,9.929,9.571
2016-09-13,9.609,117771700,9.717,9.8,9.533
2016-09-14,9.701,85278410,9.735,9.835,9.696
2016-09-15,9.734,52948990,9.723,9.797,9.653
2016-09-16,9.948,94368030,9.71,9.949,9.704
2016-09-19,9.806,86120970,9.99,10.035,9.782
2016-09-20,9.825,47346590,9.878,9.916,9.766
2016-09-21,9.488,200233700,9.69,9.71,9.326
2016-09-22,9.583,112082000,9.554,9.588,9.423
2016-09-23,9.594,61748480,9.575,9.697,9.543
2016-09-26,9.456,67378520,9.538,9.538,9.404
2016-09-27,9.707,96705870,9.504,9.764,9.5
2016-09-28,9.748,72335810,9.71,9.759,9.602
2016-09-29,9.667,62140340,9.731,9.831,9.66
2016-09-30,9.855,98047390,9.69,9.953,9.679
2016-10-03,10.263,153297300,9.8,10.339,9.8
2016-10-04,10.234,121265500,10.319,10.444,10.186
2016-10-05,10.628,129171100,10.35,10.697,10.343
2016-10-06,10.507,65852710,10.497,10.547,10.388
2016-10-07,10.482,86579470,10.398,10.65,10.355
2016-10-10,10.333,66955710,10.318,10.453,10.276
2016-10-11,10.059,90276450,10.231,10.29,9.986
2016-10-12,9.95,74066270,10.088,10.247,9.922
2016-10-13,10.023,83159560,9.801,10.05,9.763
2016-10-14,10.147,95177200,10.159,10.2099,10.035
2016-10-17,9.98,255753400,10.05,10.073,9.838
2016-10-18,11.879,421164500,11.663,11.982,11.65
2016-10-19,12.187,219304600,11.825,12.245,11.8
